eol -> que (0.40), la (0.37), el (0.32), canaria… (0.30), no (0.29), acuerdo (0.29), l (0.28), quedar (0.28), ofrezco (0.28), de (0.28)
dos -> cruces (0.68), tenemos (0.68), barquillo (0.68), haberse (0.68), comprendido (0.68), cuentagotas (0.67), proas (0.67), atuneras (0.67), barquillas (0.67), triquitraaca (0.67)
viento -> golfo (0.64), huelen (0.63), restinga (0.63), antigüa (0.62), viró (0.62), haz (0.62), lanzando (0.62), requiebra (0.62), levantando (0.62), golpea (0.61)
nunca -> sentires (0.65), devuelva (0.62), use (0.62), abatida (0.62), trajeron (0.61), barbuzano (0.61), recostada (0.61), victoriosa (0.61), retrocedan (0.61), quedaba (0.60)
todas -> abran (0.69), encima (0.63), personajillos (0.62), tardes (0.62), saliendo (0.62), cedemos (0.62), “súa” (0.61), llevan (0.61), despiertan (0.61), musas (0.61)
vi -> buscaba (0.77), simplemente (0.74), saliste (0.72), fumabas (0.72), oconnor (0.70), alcanzo (0.70), volvieras (0.70), bar… (0.69), sinead (0.69), matar (0.68)
triqui -> triquitraca (0.94), triquitrá (0.92), triquitraaca (0.91), arre (0.90), papas (0.89), kilo´ (0.87), lunes (0.84), pa´l (0.81), linda (0.79), caballito (0.79)
soy -> raíz (0.71), bereber (0.71), europa (0.70), colombina (0.69), pierrot (0.65), errante (0.65), embustero (0.65), sáhara (0.65), náufrago (0.64), pеqueña (0.64)
eso -> intermediarios (0.75), pеrdono (0.74), acariciado (0.73), besado (0.72), haberme (0.72), negocio (0.72), mantiene (0.72), emprendió (0.71), comprendes (0.71), ligero (0.71)
este -> concibo (0.67), legado (0.65), desheredado (0.63), plan (0.61), parto (0.60), denuncia (0.60), público (0.60), tricias (0.60), tenías (0.60), descubriste (0.59)
luz -> caí (0.56), еntre (0.56), haciendo (0.55), innombrable (0.55), bajaron (0.55), enarbolada (0.54), bar… (0.54), alumbré (0.53), leyéndose (0.53), ágil (0.53)
voy -> marcharme (0.65), reculando (0.64), barnizar (0.63), gastada (0.63), quitarle (0.62), ensayos (0.58), cantar… (0.58), viejas (0.57), ponerle (0.57), viajes (0.57)
siete -> palpitan (0.72), guardián (0.71), hermosos (0.71), benahoare (0.69), verdеs (0.69), levantarán (0.69), carabelas (0.69), fragantes (0.68), brille (0.68), esmeraldas (0.67)
tiempo -> perdiendo (0.56), eheh (0.54), integra (0.53), halla (0.53), estaca (0.52), desesperanza (0.52), sorprender (0.52), aberrunta (0.52), continentes (0.52), retroceder (0.52)
dónde -> fumamos (0.79), pelota (0.78), carro (0.78), besamos (0.77), botas (0.76), irás (0.74), conciencia (0.74), reafirmó (0.72), cabrera (0.72), llenaban (0.72)
cómo -> engaña (0.71), apartas (0.69), vine (0.64), pregunto (0.64), quieren (0.64), picos (0.63), caramba (0.63), entiendo (0.63), pañuelitos (0.63), muevе (0.62)
cantar -> unidos (0.67), rogando (0.66), descúbranse (0.66), devolvimos (0.65), aroman (0.64), defender (0.64), pregona (0.64), lcielo (0.63), resuena (0.63), prеgona (0.63)
también -> probar (0.61), caigan (0.61), bozal (0.61), banda (0.59), aquellos (0.59), lules (0.58), esperé (0.58), acheral (0.58), jugarme (0.57), watergate (0.57)
era -> aprendernada (0.67), quisiste (0.67), último (0.65), aprendеrnada (0.65), mono (0.64), aquellos (0.62), puro (0.62), vocación (0.62), creyó (0.61), innoble (0.61)
mí -> quedará (0.59), incluyéndome (0.58), dеntro (0.58), heredé (0.58), apartarte (0.58), distinto (0.57), entierren (0.57), apartas (0.57), jamás (0.57), telde (0.57)
beso -> despedida (0.80), siga (0.80), continuar (0.80), regalas (0.74), tentadora (0.74), salada (0.73), detengo (0.73), nacidas (0.72), impulso (0.71), u (0.70)
libertad -> cepos (0.69), conjuro (0.67), rejas (0.67), tiros (0.67), trenos (0.66), plantal (0.66), insepulta (0.66), floreciendo (0.65), espinas (0.65), riega (0.65)
mundo -> defienda (0.66), hormigón (0.65), actual (0.63), pido (0.63), ansiada (0.63), iniciarte (0.63), ruido (0.63), mensajeros (0.62), logro (0.62), febril (0.61)
azul -> fortaleza (0.69), agoniza (0.68), naturaleza (0.68), unicornio (0.67), emerge (0.67), pagaré (0.66), pintes (0.66), brille (0.66), prisión (0.65), largas (0.65)
rosa -> desiertos (0.76), cultivo (0.74), vachuelo (0.74), preso (0.73), amarga (0.72), majoreros (0.72), romero (0.72), gavia (0.72), bordona (0.72), fatiga (0.72)
nada -> comparar (0.72), quisiste (0.72), aprendernada (0.72), podía (0.72), largo (0.70), podamos (0.70), gorda (0.69), aprendеrnada (0.68), velocidad (0.67), desata (0.67)
vino -> tinto (0.74), bebí (0.72), griego (0.71), natal… (0.71), garrafón (0.71), perritas (0.71), barrilito (0.70), brindar… (0.69), “marquesotes”te (0.69), arranca (0.68)
tengo -> nado (0.65), jerga (0.64), preparada (0.63), venezuela (0.62), gripe (0.61), alevosía (0.61), gavia (0.61), amargo (0.61), pandero (0.61), obsesión (0.60)
sé -> jugarme (0.68), traté (0.68), arma (0.67), hablarlo (0.67), provocan (0.66), camban (0.65), bailе (0.65), expreso (0.64), compartimos (0.64), nada” (0.64)
ojos -> eran (0.65), mana (0.65), rojos (0.63), prendió (0.63), delatan (0.62), atardeceres (0.62), acostumbraron (0.62), lloréis (0.61), clavé (0.61), pañoleta (0.61)
sobre -> pusiera (0.61), enarbolada (0.61), ancho (0.60), aprecio (0.59), alcanzan (0.59), cuarenta (0.58), tindaya (0.58), lecho (0.57), prisiones (0.57), ocho (0.57)
paz -> circundo (0.60), almendras (0.59), еntre (0.58), cultivando (0.57), emigrantes (0.57), crepúsculo (0.57), ansiada (0.57), levántate (0.57), interrumpiendo (0.56), duerma (0.55)
niño -> jesús (0.72), palabrita (0.70), cuarenta (0.69), mataba (0.69), prisiones (0.69), guiri (0.67), deditos (0.67), fecunda (0.66), rubio (0.66), muerde (0.66)
estrellas -> anduvo (0.70), verdеs (0.68), candil (0.68), viniendo (0.67), “alfonso (0.67), brille (0.66), conejera (0.65), anuncian (0.65), guiños (0.65), moldeando (0.65)
cumbre -> cumbrе (0.84), niеve (0.82), escarpada (0.80), creció (0.80), procesión (0.80), resuena (0.78), helado (0.78), altar (0.77), asustando (0.76), nieve (0.75)
sólo -> llueve (0.61), irreal (0.60), aislamiento (0.59), llamándote (0.59), pelados (0.59), envuelto (0.59), prepararme (0.58), comprender (0.58), cuestión (0.56), descubrí (0.56)
viene -> sufrimiento (0.67), aclarando (0.66), entrerriano (0.65), bueyes (0.64), pago (0.64), bajando (0.63), buеyes (0.63), еsperanza (0.61), buscarme (0.61), polución (0.61)
mojo -> picón (0.99), salsa (0.91), rica (0.90), condimento (0.86), indispensable (0.86), bailes (0.85), rociaría (0.85), cilantro (0.84), gourmet (0.84), oyes (0.84)
canción -> encendida (0.66), abandona (0.65), aburrida (0.62), sentida (0.61), caracolas (0.60), cita (0.59), acudiste (0.59), estante (0.59), saberla (0.59), ultime (0.58)
manos -> caricia (0.65), peinas (0.64), atadas (0.63), rindió (0.63), negras (0.62), enredó (0.61), higuera (0.61), mimosa (0.61), entenderlo (0.60), blancos (0.60)
canarias -> gobernador (0.68), maldonado (0.66), huerta (0.66), “pantorrillúa” (0.65), mariquilla (0.64), florida (0.64), par (0.62), mea (0.61), ramo (0.61), guardián (0.60)
vivir -> sеmbrar (0.67), leyenda (0.64), querencia (0.63), ayudan (0.62), hacías (0.62), nacer (0.62), nacido (0.61), morir (0.61), aventura (0.61), infinita (0.60)
ha -> marchado (0.63), bebemos (0.63), sido (0.63), bastar (0.61), leerme (0.61), formado (0.61), difícil (0.60), cántaro (0.59), confesarlo (0.59), traicionado (0.58)
dios -> ajuar (0.71), valientеs (0.69), guarde (0.68), guardе (0.68), quiéreme (0.68), puedas (0.67), norteño (0.67), bendiga (0.66), gala (0.66), llorad (0.66)
hombre -> salía (0.60), serio (0.57), punto (0.56), reconstruiremos (0.56), hacerse (0.54), bríos (0.53), conjunto (0.53), verdadero (0.53), devolvimos (0.53), mirando (0.52)
picón -> mojo (0.99), rica (0.91), salsa (0.91), condimento (0.87), indispensable (0.87), gourmet (0.85), bailes (0.85), sabrosón (0.84), gastronomía (0.84), rociaría (0.84)
isla -> canaria… (0.67), imaginas (0.66), vinieron (0.65), tinerfeña (0.65), meridiana (0.64), reyes (0.64), enfrenté (0.63), febril (0.63), coraje (0.62), abuelos (0.62)
pasa -> naufragas (0.68), navegas (0.66), vendes (0.64), sucede (0.64), sufrimiento (0.63), nochе (0.63), pibe (0.62), diciéndome (0.62), pinito (0.62), economía (0.62)
tiene -> parra (0.70), uvas (0.68), melaza (0.66), preso (0.65), mí (0.64), ojito (0.64), cristobal (0.64), aceituna (0.62), maduran (0.62), enamorada (0.62)
madre -> madrе (0.73), diera (0.71), prеgunta (0.70), guadalupe (0.69), confía (0.69), cariño (0.67), chiquito (0.67), llorara (0.66), grabarte (0.65), cambullonera (0.63)
cosas -> tantas (0.71), iguales (0.70), ayudan (0.69), parejas (0.68), provocas (0.68), acumulan (0.67), inventan (0.67), profundos (0.67), hacías (0.66), hablarte (0.66)
mano -> construiré (0.73), alza (0.71), fechada (0.69), leerme (0.68), cogotera (0.67), palmea (0.67), calzón (0.67), bastar (0.67), aca (0.67), aspectos (0.66)
ayer -> encontré (0.68), pastando (0.66), chabola (0.66), parecer (0.66), senda (0.66), traes (0.65), consciente (0.65), bermeja (0.63), errante (0.62), encontrarás (0.62)
ven -> brindar… (0.74), mamacita (0.73), cubana (0.72), habló… (0.71), papá (0.71), mar… (0.69), hogar… (0.69), cargarme (0.69), campiña (0.68), griego (0.68)
nací -> mediterráneo (0.75), pancho (0.75), pahindo (0.74), región (0.72), dóndе (0.71), acercas (0.71), conciencia (0.70), nieta (0.70), tamují (0.70), campiña (0.69)
canario -> cantara (0.78), convenía (0.78), lucharon (0.76), azada (0.75), partieron (0.75), tumbe (0.75), lindo (0.75), vente (0.71), alumbró (0.69), quiеres (0.68)
vamos -> levántate (0.73), belingo (0.71), caparazón (0.71), puеs (0.70), pregonan (0.67), razon (0.67), moverla (0.67), pirata (0.67), vende (0.67), cedemos (0.66)
libre -> personal (0.72), rostro (0.71), espíritu (0.70), encauzar (0.70), detenga (0.69), cercas (0.69), reconstruir (0.67), cortadas (0.67), dejarlo (0.67), bebеr (0.66)
dicen -> coser (0.84), bordar (0.80), patrás (0.76), hiciste (0.76), love (0.73), virgencita (0.72), york (0.72), conchas (0.71), adoras (0.71), making (0.71)
aire -> echó (0.59), respirar (0.59), tiro (0.58), viciado (0.58), helado (0.58), cortar (0.58), ana (0.58), elena (0.57), emponzoñar (0.56), pájaro (0.56)
o -> rubí (0.70), eras (0.67), catalina (0.66), salto (0.65), emociones (0.65), decrece (0.65), parque (0.64), cafés (0.64), tertulias (0.64), marquesina (0.64)
será -> quizá (0.70), reventar (0.66), moon (0.66), fácil (0.64), felicidad (0.64), vueltos (0.64), the (0.63), viajaba (0.63), alumbrará (0.63), juez (0.62)
tanto -> amado (0.67), sabía (0.65), ofreces (0.64), anhelo (0.63), corras (0.63), guste (0.62), alcanzo (0.61), funden (0.61), solos (0.61), manué (0.61)
bajo -> candil (0.67), intimidad (0.66), callada (0.63), enamoro (0.62), ala (0.62), sombrеro (0.61), duermes (0.61), barreras (0.61), sonriera (0.61), escucho (0.61)
… -> eres… (0.94), pegan (0.91), alpispa (0.90), acequia (0.89), lola (0.89), palos (0.88), moño (0.87), espere (0.86), salpicona (0.85), coqueta (0.84)
anaga -> piedad (0.83), trampa (0.81), belleza (0.81), mencey (0.80), espérame (0.79), embrujado (0.78), desventurado (0.78), altivo (0.78), volveré (0.77), murmura (0.77)
has -> convertido (0.71), leerme (0.70), costado (0.70), heredado (0.69), soplado (0.67), montón (0.66), dejado (0.66), dado (0.65), cogido (0.64), bajito (0.64)
